dv,subj_num,is_young,within
-0.0995411591545804,1,1,repeat
-0.00915776515321647,2,0,repeat
0.0610151544996419,3,0,repeat
-0.105989348022773,4,1,repeat
-0.0395271011661171,5,1,repeat
0.135659554040481,6,0,repeat
0.296445364051104,7,1,repeat
0.197460355363553,8,0,repeat
-0.170815105330741,9,1,repeat
0.17962324047702,10,1,repeat
0.235305782969895,11,1,repeat
-0.194662000206464,12,1,repeat
0.0562906505583788,13,1,repeat
0.0813999662123045,14,1,repeat
0.299129445832293,15,1,repeat
-0.060600390083522,16,0,repeat
0.0387000309428518,17,0,repeat
0.130512027538857,18,1,repeat
-0.00108597327758833,19,0,repeat
-0.058218644729291,20,1,repeat
-0.102978167463976,21,1,repeat
-0.0380083563072639,22,0,repeat
-0.146694851211562,23,0,repeat
0.087471218930894,24,1,repeat
0.039397660759603,25,0,repeat
-0.140432299677342,26,0,repeat
-0.108403866432562,27,0,repeat
0.184064726308776,28,1,repeat
0.046912211891173,29,0,repeat
0.333056120137553,30,1,repeat
-0.115726896948649,31,1,repeat
-0.32332167880905,32,0,repeat
0.0641254239249948,33,1,repeat
-0.355919656786049,34,0,repeat
0.309624324579147,35,1,repeat
0.0582823188493871,36,0,repeat
0.0287133292510736,37,0,repeat
0.0151031890891864,38,0,repeat
-0.162560994372871,39,0,repeat
0.000733137961263706,1,1,  ID  
-0.184955829862252,2,0,  ID  
0.204995689145668,3,0,  ID  
0.0569469358924289,4,1,  ID  
0.17108305166954,5,1,  ID  
-0.139739290499477,6,0,  ID  
0.068924266842933,7,1,  ID  
-0.10315176074022,8,0,  ID  
0.242264679314612,9,1,  ID  
0.376755165143518,10,1,  ID  
0.083917362413856,11,1,  ID  
-0.034293110592481,12,1,  ID  
0.131512311795106,13,1,  ID  
0.381030716302134,14,1,  ID  
-0.16326934520449,15,1,  ID  
-0.247315100544471,16,0,  ID  
-0.197306166941972,17,0,  ID  
0.0381416523748153,18,1,  ID  
-0.11545277832485,19,0,  ID  
0.173494226820862,20,1,  ID  
0.267774081294101,21,1,  ID  
-0.102264868672173,22,0,  ID  
0.0703587859548284,23,0,  ID  
0.432613873050582,24,1,  ID  
0.108930844282884,25,0,  ID  
0.142492235839566,26,0,  ID  
0.0448503447603034,27,0,  ID  
0.0304533853836508,28,1,  ID  
-0.26864795822786,29,0,  ID  
-0.125418977090085,30,1,  ID  
0.0902472327562437,31,1,  ID  
-0.311925632396635,32,0,  ID  
-0.0218007142556402,33,1,  ID  
0.0503596538774905,34,0,  ID  
0.489572424331391,35,1,  ID  
-0.132113575352443,36,0,  ID  
-0.421890841181133,37,0,  ID  
-0.0451185673626023,38,0,  ID  
0.0276974906604772,39,0,  ID  
0.102666897770808,1,1,  ED  
-0.00101214609461523,2,0,  ED  
0.065839369856978,3,0,  ED  
0.0285792069199743,4,1,  ED  
0.315923327348075,5,1,  ED  
0.0628884388553284,6,0,  ED  
0.231687195179856,7,1,  ED  
0.104627219576771,8,0,  ED  
0.345671137003558,9,1,  ED  
0.204209036881897,10,1,  ED  
0.40443817039034,11,1,  ED  
-0.130646039135282,12,1,  ED  
0.0212582624501573,13,1,  ED  
-0.00648352988761725,14,1,  ED  
0.235440665710654,15,1,  ED  
-0.0775122882941418,16,0,  ED  
-0.110815536541426,17,0,  ED  
0.0136844885189208,18,1,  ED  
0.157333871718685,19,0,  ED  
-0.374537866609585,20,1,  ED  
0.121146703318877,21,1,  ED  
0.0997937975184321,22,0,  ED  
-0.428940493917311,23,0,  ED  
0.0413201878759949,24,1,  ED  
0.194902823774263,25,0,  ED  
0.178816786586223,26,0,  ED  
0.0388697379253376,27,0,  ED  
0.222190262178919,28,1,  ED  
0.0924114574831364,29,0,  ED  
0.113194709666468,30,1,  ED  
0.0401907592254801,31,1,  ED  
-0.127765143063558,32,0,  ED  
0.0130218542672732,33,1,  ED  
-0.058980115329974,34,0,  ED  
0.182434958226788,35,1,  ED  
-0.190710521237842,36,0,  ED  
0.262577724660408,37,0,  ED  
0.337451757878055,38,0,  ED  
0.330914248651259,39,0,  ED  
